,  , Name , Revenue , Funding , Valuation , Cash Flow , Founder , Team Size , Age (Yrs) , Location , Industry , As Of 
0,,Squire, $15.0M , $145.1M , $750.0M , Even ,Songe LaRon, 150 , 7 , United States ,Vertical Industry Software, 2016 
1,,1Password, $120.0M , $920.0M , $6.8B , Even ,Jeff Shiner, 472 , 17 , Canada ,Security Software, 2019 
2,,ClickUp, $80.0M , $537.5M , $4.0B , Neg ,Zeb Evans, 800 , 5 , United States ,Collaboration & Productivity Software, 2017 
3,,Bubble, $10.0M , $106.3M ,, Even ,Emmanuel Straschnov, 103 , 10 , United States ,Application Development Software, 2019 
4,,SecurityScorecard, $71.0M , $293.4M , $980.0M , Neg ,Aleksandr Yampolskiy, 350 , 8 , United States ,Security Software, 2014 
5,,Lemlist, $10.0M , $30.0M , $150.0M , $100.0K ,Guillaume Moubeche, 35 , 4 , France ,CRM and Related Software, 2019 
6,,Copado, $52.0M , $278.0M , $1.2B , Even ,Ted Elliott, 520 , 9 , United States ,DevOps Software, 2018 
7,,Mindee, $1.5M , $16.3M ,, Even ,Georges Ryssen, 25 , 4 , France ,Artificial Intelligence Software, 2019 
8,,Cloudbeds, $30.0M , $248.4M ,, Even ,Adam Harris, 540 , 10 , United States ,Hospitality Software, 2012 
9,,Chili Piper, $16.2M , $58.0M , $625.0M , Neg ,Nicolas Vandenberghe, 150 , 6 , United States ,CRM and Related Software, 2018 
10,,Hopin, $100.0M , $1.0B , $7.8B , Pos ,Johnny Boufarhat, 739 , 2 , United Kingdom ,Video Solution Software, 2020 
11,,Gong, $120.0M , $583.0M , $7.3B , Neg ,Amit Bendov, 649 , 6 , Croatia ,Call Tracking Software, 2016 
12,,Outreach, $158.0M , $488.7M , $4.2B , Neg ,Manny Medina, 1038 , 8 , United States ,Sales Software, 2011 
13,,Zenefits, $100.0M , $584.1M , $4.0B , Neg ,Jay Fulcher, 421 , 9 , United States ,Collaboration & Productivity Software, 2013 
14,,Zenbusiness, $45.0M , $273.1M , $1.7B , Neg ,Ross Buhrdorf, 380 , 6 , United States ,Business Development Software, 2016 
15,,Acuityscheduling, $9.6M ,,, Even ,Gavin Zuchlinski, 11 , 15 , United States ,Office Software, 2016 
16,,WriterAccess, $9.4M ,,, Even ,Byron White, 14 , 12 , United States ,Content Marketing Software, 2010 
17,,"Deckrobot Inc,DeckRobot", $1.1M , $2.5M ,, Even ,Tony Urban, 20 , 5 , United States ,Artificial Intelligence Software, 2017 
18,,Docsend, $9.2M , $14.7M , $165.0M , Even ,Russ Heddleston, 63 , 9 , United States ,CRM and Related Software, 2013 
19,,247 ai, $306.0M , $22.0M ,, $2.5M ,Pv Kannan, 6248 , 22 , United States ,Marketing Software, 2000 
20,,Freshworks, $337.8M , $1.5B , $9.1B , Neg ,Girish Mathrubootham, 4811 , 12 , India ,CRM and Related Software, 2011 
21,,Numerated, $26.0M , $27.5M ,, -$600.0K ,Daniel O'Malley, 70 , 5 , United States ,Vertical Industry Software, 2017 
22,,DesignPickle, $21.1M , $249.5K ,, Pos ,Russ Perry, 66 , 7 , United States ,Creative Services Provider, 2016 
23,,Handshake, $20.0M , $23.5M , $100.0M , Even ,Glen Coates, 12 , 11 , United States ,E-Commerce Software, 2012 
24,,Qualified, $2.5M ,,, -$40.0K ,Nathan Doctor, 12 , 6 , United States ,Lead Generation Services, 2018 
25,,PlayMob, $1.2M , $2.0M ,, Even ,Jude Ower, 19 , 15 , United Kingdom ,Application Development Software, 2011 
26,,Saltare, $72.2K ,,, Even ,Laura Yunger, 2 , 24 , United States ,, 2021 
27,,CompanDx, $70.3K ,,, Even , , 1 , 14 , United Kingdom ,, 2021 
28,,Meta Sota, $809.9K ,,, Even ,Kerui Min, 12 , 4 , China ,Information Technology Software, 2021 
29,,Validity, $13.7M ,,, Even ,Mark Briggs, 347 , 4 , United States ,Information Technology Software, 2021 
30,,Lootbag Inc., $429.8K ,,, Even ,Jennifer Tricoci, 8 , 7 , Canada ,, 2021 
31,,LocalOn, $12.0M , $270.0K ,, Even ,David Tolioupov, 192 , 12 , United States ,Analytics Software, 2010 
32,,Berryworks, $311.9K , $200.0K ,, Even ,Abhishek Mundhra, 10 , 2 , United States ,Human Resources Software, 2020 
33,,WatchMyDC Analytics OY, $490.0K , $395.0K ,, Even ,Mijanur Rahman, 5 , 2 , Finland ,Analytics Software, 2021 
34,,Reviscope, $238.4K ,,, Even , , 3 , 2 , Italy ,Enterprise Software Software, 2020 
35,,Atlas 3D, $68.8K ,,, Even ,Chad Barden, 1 , 5 , United States ,, 2021 
36,,Lirdy, $77.2K ,,, Even ,Thomas Hieber, 2 , 9 , Germany ,, 2021 
37,,CollectiveCrunch, $1.2M , $1.6M ,, Even ,Jarkko Lipponen, 23 , 6 , Finland ,Artificial Intelligence Software, 2017 
38,,Hortau, $5.1M , $54.4M ,, Even ,Jocelyn Boudreau, 75 , 20 , United States ,Agriculture Software, 2013 
39,,Dydra, $64.3K ,,, Even ,Marie Kloor, 1 , 12 , United States ,, 2021 
40,,Quantcast, $34.1M , $65.3M , $301.4M , Even ,Konrad Feldman, 723 , 16 , United States ,Digital Advertising Platforms, 2007 
41,,Abacus Business Computers, $691.2K ,,, Even , , 16 , 30 , United States ,Franchise Software, 2021 
42,,Salesnet, $249.1K ,,, Even ,Alan Goldsworthys, 3 , 25 , United States ,, 2021 
43,,Benefit At Work, $875.1K ,,, Even ,Renate Echtermeyer, 14 , 12 , Germany ,Information Technology Software, 2021 
44,,Trust Science, $606.8K , $2.0M ,, Even ,Evan Chrapko, 33 , 8 , Canada ,Artificial Intelligence Software, 2021 
45,,Vivos.Me, $68.3K ,,, Even ,Omar O'Sullivan, 1 , 10 , Ireland ,, 2021 
46,,Bridge To College, $784.0K , $836.0K ,, Even ,Vielka Hoy, 8 , 5 , United States ,Education Software, 2019 
47,,Rue de la Paye, $2.6M ,,, Even ,Cristian Lupu, 50 , 22 , France ,Financial Services Software, 2021 
48,,MapmyIndia, $71.3M , $74.8M ,, Even ,Rohan Verma, 728 , 27 , India ,Iot Software, 2007 
49,,eeSea, $275.2K ,,, Even ,Simon Sundboell, 8 , 7 , Denmark ,It Infrastructure Software, 2021 
